Left_Knee_X,Left_Knee_Y,Left_Toe_X,Left_Toe_Y,Right_Knee_X,Right_Knee_Y,Right_Toe_X,Right_Toe_Y,Hip_Y,Shoulder_Y,Squatting,Knee_Angle_L,Knee_Angle_R,Hip_Angle_L,Hip_Angle_R,Spine_Angle,Symmetry_Error,Knee_Toe_L,Knee_Toe_R,Depth_Check,Symmetry_Check,Spine_Check,Angle_Check,Score,Good_Frames,Total_Frames,Knee-Toe Issues,Total_Issues
356,567,351,728,178,567,193,742,446.5,297.5,True,148.43709649921212,149.74356283647074,150.6043230330029,147.5146326031782,178.87377530733716,0.9445264360810387,True,True,True,False,False,False,99.5,0,1,1,1
356,566,351,728,178,566,193,742,447.5,300.5,True,148.18179620749987,149.50562537385116,150.13048755360276,147.11387478718453,178.84931540151007,0.9566804164459017,True,True,True,False,False,False,99.5,0,2,2,2
356,565,351,728,177,565,193,742,450.5,304.5,True,147.1383727488417,148.01751220708672,148.58789694265081,145.9307349315159,179.16927328346762,0.6453976207715146,True,True,True,False,False,False,99.0,0,3,3,3
356,565,351,728,177,565,193,742,454.0,310.0,True,146.57213226911392,147.21514781601874,147.92287073406143,145.04143132701523,179.16223862169932,0.5101108828333741,True,True,True,False,False,False,99.0,0,4,4,4
357,563,351,728,176,564,193,742,457.0,315.0,True,144.78780582955645,145.61344762002332,146.38506270693702,143.64812042940252,179.14987107337603,0.6379492533268125,True,True,True,False,False,False,98.5,0,5,5,5
357,560,351,729,175,561,193,742,462.5,325.5,True,142.29294706011822,142.99535121213333,143.42512733524956,140.86744082954235,179.3149559665342,0.5816829064105741,True,True,True,False,False,False,98.0,0,6,6,6
358,556,351,728,174,558,193,741,469.5,335.5,True,138.7648161508659,139.65692589028131,139.87398266258407,137.5190954693328,179.31598963306644,0.7144768175907921,True,True,True,False,False,False,97.5,0,7,7,7
359,553,351,728,174,554,193,741,475.5,345.5,True,135.5652315056799,136.56897792577675,136.1678852341936,133.7961354481808,179.5137890200069,0.852622494067802,True,True,True,False,False,False,97.5,0,8,8,8
359,550,351,728,174,550,193,740,480.5,355.5,True,132.40202387081567,133.86230895356007,132.9459324513179,130.34255679877973,179.41916741751288,1.172199557921084,True,True,True,False,False,False,97.5,0,9,9,9
360,547,350,728,174,546,193,739,486.0,364.0,True,128.38826630840552,129.5765815743684,128.8322455465572,125.62015101545657,179.4120485561756,1.0118206861740093,True,True,True,False,False,False,97.5,0,10,10,10
360,546,350,727,174,543,193,738,492.0,373.0,True,125.16217157943956,124.81043971681153,125.28486042727866,120.37309931742686,179.40801821776344,0.42621230383961994,True,True,True,False,False,False,97.5,0,11,11,11
360,544,349,727,174,541,193,737,497.0,381.5,True,121.4951592436841,120.32148907144364,121.19928901270148,115.52679917149493,179.39711516943905,1.0015691205683241,True,True,True,False,False,False,97.5,0,12,12,12
361,543,348,726,173,540,193,736,502.0,389.5,True,116.56505117707798,114.98404039711734,115.77815386926073,110.3501356573253,179.80857702868087,1.2867075459724449,True,True,True,False,False,False,97.0,0,13,13,13
362,541,348,725,173,539,194,736,506.5,397.5,True,111.12471914607244,110.38494693191755,110.38615459958083,104.80343857413379,179.37237180838216,0.6678405499084178,True,True,True,False,False,False,96.5,0,14,14,14
363,541,347,724,172,539,194,736,510.0,404.5,True,106.93067008832446,106.87171373919,106.28134037644007,101.3489115993471,179.52309388105624,0.1612694443941234,True,True,True,False,False,False,95.0,0,15,15,15
364,541,347,723,171,540,194,736,513.5,411.5,True,103.58547208331237,104.19198093298209,102.59700171639159,98.0297272034424,179.39083447572165,0.514556194768806,True,True,True,False,False,False,94.0,0,16,16,16
365,543,347,723,170,542,194,736,516.0,418.0,True,101.00354085174945,103.19641485697198,100.13364444986101,96.9462561804159,179.62292895940607,1.5950118036557746,True,True,True,False,False,False,93.0,0,17,17,17
365,544,347,723,169,545,195,736,518.0,423.5,True,100.14930950520431,102.96229134709354,99.40050707789557,96.86642980249769,179.2664333302078,2.0290872893224576,True,True,True,False,False,False,92.0,0,18,18,18
365,546,347,722,169,549,194,736,520.5,428.5,True,98.77221467840809,104.35439383931553,98.0523605029325,97.97424652218609,179.41959951099722,3.9375254126352104,True,True,True,False,False,False,92.5,0,19,19,19
366,548,347,722,169,552,194,735,524.0,433.0,True,96.28723001749091,104.05423159351689,96.09191535044515,97.77625721272278,179.43785295469314,5.436901103218183,True,True,True,False,False,False,92.0,0,20,20,20
365,550,347,722,169,555,194,735,527.5,437.0,True,94.77802243926038,103.73971080303566,94.80779163272626,97.57425996422171,179.27165622036784,6.3031818546426965,True,True,True,False,False,False,92.5,0,21,21,21
365,552,347,722,168,558,194,735,530.5,440.5,True,93.49671163207876,102.52880770915152,93.02925023129845,97.15908042307683,179.81836152147363,6.352467253950936,True,True,True,False,False,False,92.0,0,22,22,22
364,553,347,721,168,560,193,735,534.5,443.0,True,91.56176073211708,100.63225542369486,91.58744699396351,95.89878461205842,179.6101368028064,6.379346284104445,True,True,True,False,False,False,93.0,0,23,23,23
363,554,348,721,167,561,193,735,538.0,446.0,True,89.44085269418485,97.96537281941934,88.67189681371296,93.82766998188072,179.79273604488782,6.027164087664141,True,True,True,False,False,False,93.5,0,24,24,24
363,556,347,721,166,562,192,735,540.5,448.0,True,89.08212211539649,95.30092651652568,88.67189681371296,91.96036537952665,179.72554995799464,4.383163080790434,True,True,True,False,False,False,93.0,0,25,25,25
362,557,347,721,165,564,191,735,541.0,449.5,True,90.37860096211432,95.07716035343098,89.41536947929482,93.05149952145547,179.41746290869364,3.2889915739216646,True,True,True,False,False,False,93.5,0,26,26,26
363,559,347,720,165,565,190,735,542.0,450.5,True,90.23597798824937,94.79299266727874,90.62050764783395,93.05149952145547,179.7010209420391,3.189910275320555,True,True,True,False,False,False,93.5,0,27,27,27
